timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711613820000,2024-03-28T08:17:00Z,288-1-1-116,,device_not_recording
1711613880000,2024-03-28T08:18:00Z,288-1-1-116,,device_not_recording
1711613940000,2024-03-28T08:19:00Z,288-1-1-116,,device_not_recording
1711614000000,2024-03-28T08:20:00Z,288-1-1-116,,device_not_recording
1711614060000,2024-03-28T08:21:00Z,288-1-1-116,,device_not_recording
1711614120000,2024-03-28T08:22:00Z,288-1-1-116,,device_not_recording
1711614180000,2024-03-28T08:23:00Z,288-1-1-116,,device_not_recording
1711614240000,2024-03-28T08:24:00Z,288-1-1-116,,device_not_recording
1711614300000,2024-03-28T08:25:00Z,288-1-1-116,,device_not_recording
1711614360000,2024-03-28T08:26:00Z,288-1-1-116,,device_not_recording
1711614420000,2024-03-28T08:27:00Z,288-1-1-116,,device_not_recording
1711614480000,2024-03-28T08:28:00Z,288-1-1-116,,device_not_recording
1711614540000,2024-03-28T08:29:00Z,288-1-1-116,,device_not_recording
1711614600000,2024-03-28T08:30:00Z,288-1-1-116,,device_not_recording
1711614660000,2024-03-28T08:31:00Z,288-1-1-116,,device_not_recording
1711614720000,2024-03-28T08:32:00Z,288-1-1-116,,device_not_recording
1711614780000,2024-03-28T08:33:00Z,288-1-1-116,,device_not_recording
1711614840000,2024-03-28T08:34:00Z,288-1-1-116,,device_not_recording
1711614900000,2024-03-28T08:35:00Z,288-1-1-116,,device_not_recording
1711614960000,2024-03-28T08:36:00Z,288-1-1-116,,device_not_recording
1711615020000,2024-03-28T08:37:00Z,288-1-1-116,,device_not_recording
1711615080000,2024-03-28T08:38:00Z,288-1-1-116,,device_not_recording
1711615140000,2024-03-28T08:39:00Z,288-1-1-116,,device_not_recording
1711615200000,2024-03-28T08:40:00Z,288-1-1-116,,device_not_recording
1711615260000,2024-03-28T08:41:00Z,288-1-1-116,,device_not_recording
1711615320000,2024-03-28T08:42:00Z,288-1-1-116,,device_not_recording
1711615380000,2024-03-28T08:43:00Z,288-1-1-116,,device_not_recording
1711615440000,2024-03-28T08:44:00Z,288-1-1-116,,device_not_recording
1711615500000,2024-03-28T08:45:00Z,288-1-1-116,,device_not_recording
1711615560000,2024-03-28T08:46:00Z,288-1-1-116,,device_not_recording
1711615620000,2024-03-28T08:47:00Z,288-1-1-116,,device_not_recording
1711615680000,2024-03-28T08:48:00Z,288-1-1-116,,device_not_recording
1711615740000,2024-03-28T08:49:00Z,288-1-1-116,,device_not_recording
1711615800000,2024-03-28T08:50:00Z,288-1-1-116,,device_not_recording
1711615860000,2024-03-28T08:51:00Z,288-1-1-116,,device_not_recording
1711615920000,2024-03-28T08:52:00Z,288-1-1-116,,device_not_recording
1711615980000,2024-03-28T08:53:00Z,288-1-1-116,,device_not_recording
1711616040000,2024-03-28T08:54:00Z,288-1-1-116,,device_not_recording
1711616100000,2024-03-28T08:55:00Z,288-1-1-116,,device_not_recording
1711616160000,2024-03-28T08:56:00Z,288-1-1-116,,device_not_recording
1711616220000,2024-03-28T08:57:00Z,288-1-1-116,,device_not_recording
1711616280000,2024-03-28T08:58:00Z,288-1-1-116,,device_not_recording
1711616340000,2024-03-28T08:59:00Z,288-1-1-116,,device_not_recording
1711616400000,2024-03-28T09:00:00Z,288-1-1-116,,device_not_recording
1711616460000,2024-03-28T09:01:00Z,288-1-1-116,,device_not_recording
1711616520000,2024-03-28T09:02:00Z,288-1-1-116,,device_not_recording
1711616580000,2024-03-28T09:03:00Z,288-1-1-116,,device_not_recording
