timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1703125860000,2023-12-21T02:31:00Z,288-1-1-009,,device_not_worn_correctly
1703125920000,2023-12-21T02:32:00Z,288-1-1-009,,device_not_worn_correctly
1703125980000,2023-12-21T02:33:00Z,288-1-1-009,,device_not_worn_correctly
1703126040000,2023-12-21T02:34:00Z,288-1-1-009,,device_not_worn_correctly
1703126100000,2023-12-21T02:35:00Z,288-1-1-009,,device_not_worn_correctly
1703126160000,2023-12-21T02:36:00Z,288-1-1-009,0,
1703126220000,2023-12-21T02:37:00Z,288-1-1-009,0,
1703126280000,2023-12-21T02:38:00Z,288-1-1-009,0,
1703126340000,2023-12-21T02:39:00Z,288-1-1-009,0,
1703126400000,2023-12-21T02:40:00Z,288-1-1-009,0,
1703126460000,2023-12-21T02:41:00Z,288-1-1-009,0,
1703126520000,2023-12-21T02:42:00Z,288-1-1-009,0,
1703126580000,2023-12-21T02:43:00Z,288-1-1-009,0,
1703126640000,2023-12-21T02:44:00Z,288-1-1-009,0,
1703126700000,2023-12-21T02:45:00Z,288-1-1-009,0,
1703126760000,2023-12-21T02:46:00Z,288-1-1-009,0,
1703126820000,2023-12-21T02:47:00Z,288-1-1-009,0,
1703126880000,2023-12-21T02:48:00Z,288-1-1-009,0,
1703126940000,2023-12-21T02:49:00Z,288-1-1-009,0,
1703127000000,2023-12-21T02:50:00Z,288-1-1-009,0,
1703127060000,2023-12-21T02:51:00Z,288-1-1-009,0,
1703127120000,2023-12-21T02:52:00Z,288-1-1-009,0,
1703127180000,2023-12-21T02:53:00Z,288-1-1-009,0,
1703127240000,2023-12-21T02:54:00Z,288-1-1-009,0,
1703127300000,2023-12-21T02:55:00Z,288-1-1-009,0,
1703127360000,2023-12-21T02:56:00Z,288-1-1-009,0,
1703127420000,2023-12-21T02:57:00Z,288-1-1-009,0,
1703127480000,2023-12-21T02:58:00Z,288-1-1-009,0,
1703127540000,2023-12-21T02:59:00Z,288-1-1-009,0,
1703127600000,2023-12-21T03:00:00Z,288-1-1-009,0,
1703127660000,2023-12-21T03:01:00Z,288-1-1-009,0,
1703127720000,2023-12-21T03:02:00Z,288-1-1-009,0,
1703127780000,2023-12-21T03:03:00Z,288-1-1-009,0,
1703127840000,2023-12-21T03:04:00Z,288-1-1-009,0,
1703127900000,2023-12-21T03:05:00Z,288-1-1-009,101,
1703127960000,2023-12-21T03:06:00Z,288-1-1-009,101,
1703128020000,2023-12-21T03:07:00Z,288-1-1-009,101,
1703128080000,2023-12-21T03:08:00Z,288-1-1-009,101,
1703128140000,2023-12-21T03:09:00Z,288-1-1-009,101,
1703128200000,2023-12-21T03:10:00Z,288-1-1-009,101,
1703128260000,2023-12-21T03:11:00Z,288-1-1-009,101,
1703128320000,2023-12-21T03:12:00Z,288-1-1-009,101,
1703128380000,2023-12-21T03:13:00Z,288-1-1-009,101,
1703128440000,2023-12-21T03:14:00Z,288-1-1-009,101,
1703128500000,2023-12-21T03:15:00Z,288-1-1-009,101,
1703128560000,2023-12-21T03:16:00Z,288-1-1-009,101,
1703128620000,2023-12-21T03:17:00Z,288-1-1-009,101,
1703128680000,2023-12-21T03:18:00Z,288-1-1-009,101,
1703128740000,2023-12-21T03:19:00Z,288-1-1-009,102,
1703128800000,2023-12-21T03:20:00Z,288-1-1-009,101,
1703128860000,2023-12-21T03:21:00Z,288-1-1-009,102,
1703128920000,2023-12-21T03:22:00Z,288-1-1-009,102,
1703128980000,2023-12-21T03:23:00Z,288-1-1-009,102,
1703129040000,2023-12-21T03:24:00Z,288-1-1-009,102,
1703129100000,2023-12-21T03:25:00Z,288-1-1-009,102,
1703129160000,2023-12-21T03:26:00Z,288-1-1-009,101,
1703129220000,2023-12-21T03:27:00Z,288-1-1-009,102,
1703129280000,2023-12-21T03:28:00Z,288-1-1-009,102,
1703129340000,2023-12-21T03:29:00Z,288-1-1-009,101,
1703129400000,2023-12-21T03:30:00Z,288-1-1-009,101,
1703129460000,2023-12-21T03:31:00Z,288-1-1-009,101,
