timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710127440000,2024-03-11T03:24:00Z,288-1-1-114,95,
1710127500000,2024-03-11T03:25:00Z,288-1-1-114,96,
1710127560000,2024-03-11T03:26:00Z,288-1-1-114,93,
1710127620000,2024-03-11T03:27:00Z,288-1-1-114,96,
1710127680000,2024-03-11T03:28:00Z,288-1-1-114,80,
1710127740000,2024-03-11T03:29:00Z,288-1-1-114,117,
1710127800000,2024-03-11T03:30:00Z,288-1-1-114,99,
1710127860000,2024-03-11T03:31:00Z,288-1-1-114,92,
1710127920000,2024-03-11T03:32:00Z,288-1-1-114,105,
1710127980000,2024-03-11T03:33:00Z,288-1-1-114,111,
1710128040000,2024-03-11T03:34:00Z,288-1-1-114,108,
1710128100000,2024-03-11T03:35:00Z,288-1-1-114,93,
1710128160000,2024-03-11T03:36:00Z,288-1-1-114,97,
1710128220000,2024-03-11T03:37:00Z,288-1-1-114,93,
1710128280000,2024-03-11T03:38:00Z,288-1-1-114,86,
1710128340000,2024-03-11T03:39:00Z,288-1-1-114,88,
1710128400000,2024-03-11T03:40:00Z,288-1-1-114,86,
1710128460000,2024-03-11T03:41:00Z,288-1-1-114,89,
1710128520000,2024-03-11T03:42:00Z,288-1-1-114,91,
1710128580000,2024-03-11T03:43:00Z,288-1-1-114,91,
1710128640000,2024-03-11T03:44:00Z,288-1-1-114,89,
1710128700000,2024-03-11T03:45:00Z,288-1-1-114,88,
1710128760000,2024-03-11T03:46:00Z,288-1-1-114,85,
1710128820000,2024-03-11T03:47:00Z,288-1-1-114,91,
1710128880000,2024-03-11T03:48:00Z,288-1-1-114,84,
1710128940000,2024-03-11T03:49:00Z,288-1-1-114,84,
1710129000000,2024-03-11T03:50:00Z,288-1-1-114,81,
1710129060000,2024-03-11T03:51:00Z,288-1-1-114,83,
1710129120000,2024-03-11T03:52:00Z,288-1-1-114,82,
1710129180000,2024-03-11T03:53:00Z,288-1-1-114,82,
1710129240000,2024-03-11T03:54:00Z,288-1-1-114,88,
1710129300000,2024-03-11T03:55:00Z,288-1-1-114,86,
1710129360000,2024-03-11T03:56:00Z,288-1-1-114,79,
1710129420000,2024-03-11T03:57:00Z,288-1-1-114,85,
1710129480000,2024-03-11T03:58:00Z,288-1-1-114,90,
1710129540000,2024-03-11T03:59:00Z,288-1-1-114,89,
1710129600000,2024-03-11T04:00:00Z,288-1-1-114,98,
1710129660000,2024-03-11T04:01:00Z,288-1-1-114,90,
1710129720000,2024-03-11T04:02:00Z,288-1-1-114,88,
1710129780000,2024-03-11T04:03:00Z,288-1-1-114,88,
1710129840000,2024-03-11T04:04:00Z,288-1-1-114,85,
1710129900000,2024-03-11T04:05:00Z,288-1-1-114,85,
1710129960000,2024-03-11T04:06:00Z,288-1-1-114,85,
1710130020000,2024-03-11T04:07:00Z,288-1-1-114,88,
1710130080000,2024-03-11T04:08:00Z,288-1-1-114,90,
1710130140000,2024-03-11T04:09:00Z,288-1-1-114,88,
1710130200000,2024-03-11T04:10:00Z,288-1-1-114,90,
1710130260000,2024-03-11T04:11:00Z,288-1-1-114,98,
1710130320000,2024-03-11T04:12:00Z,288-1-1-114,97,
1710130380000,2024-03-11T04:13:00Z,288-1-1-114,88,
1710130440000,2024-03-11T04:14:00Z,288-1-1-114,86,
1710130500000,2024-03-11T04:15:00Z,288-1-1-114,85,
1710130560000,2024-03-11T04:16:00Z,288-1-1-114,83,
1710130620000,2024-03-11T04:17:00Z,288-1-1-114,82,
1710130680000,2024-03-11T04:18:00Z,288-1-1-114,86,
1710130740000,2024-03-11T04:19:00Z,288-1-1-114,83,
1710130800000,2024-03-11T04:20:00Z,288-1-1-114,90,
1710130860000,2024-03-11T04:21:00Z,288-1-1-114,82,
1710130920000,2024-03-11T04:22:00Z,288-1-1-114,84,
1710130980000,2024-03-11T04:23:00Z,288-1-1-114,94,
1710131040000,2024-03-11T04:24:00Z,288-1-1-114,87,
1710131100000,2024-03-11T04:25:00Z,288-1-1-114,76,
1710131160000,2024-03-11T04:26:00Z,288-1-1-114,81,
1710131220000,2024-03-11T04:27:00Z,288-1-1-114,75,
1710131280000,2024-03-11T04:28:00Z,288-1-1-114,84,
1710131340000,2024-03-11T04:29:00Z,288-1-1-114,83,
1710131400000,2024-03-11T04:30:00Z,288-1-1-114,84,
1710131460000,2024-03-11T04:31:00Z,288-1-1-114,81,
1710131520000,2024-03-11T04:32:00Z,288-1-1-114,81,
1710131580000,2024-03-11T04:33:00Z,288-1-1-114,81,
1710131640000,2024-03-11T04:34:00Z,288-1-1-114,84,
1710131700000,2024-03-11T04:35:00Z,288-1-1-114,89,
1710131760000,2024-03-11T04:36:00Z,288-1-1-114,77,
1710131820000,2024-03-11T04:37:00Z,288-1-1-114,83,
1710131880000,2024-03-11T04:38:00Z,288-1-1-114,83,
1710131940000,2024-03-11T04:39:00Z,288-1-1-114,77,
1710132000000,2024-03-11T04:40:00Z,288-1-1-114,86,
1710132060000,2024-03-11T04:41:00Z,288-1-1-114,97,
1710132120000,2024-03-11T04:42:00Z,288-1-1-114,117,
1710132180000,2024-03-11T04:43:00Z,288-1-1-114,104,
1710132240000,2024-03-11T04:44:00Z,288-1-1-114,90,
1710132300000,2024-03-11T04:45:00Z,288-1-1-114,84,
1710132360000,2024-03-11T04:46:00Z,288-1-1-114,74,
1710132420000,2024-03-11T04:47:00Z,288-1-1-114,73,
1710132480000,2024-03-11T04:48:00Z,288-1-1-114,75,
1710132540000,2024-03-11T04:49:00Z,288-1-1-114,73,
1710132600000,2024-03-11T04:50:00Z,288-1-1-114,80,
1710132660000,2024-03-11T04:51:00Z,288-1-1-114,73,
1710132720000,2024-03-11T04:52:00Z,288-1-1-114,76,
1710132780000,2024-03-11T04:53:00Z,288-1-1-114,74,
1710132840000,2024-03-11T04:54:00Z,288-1-1-114,74,
1710132900000,2024-03-11T04:55:00Z,288-1-1-114,74,
1710132960000,2024-03-11T04:56:00Z,288-1-1-114,74,
1710133020000,2024-03-11T04:57:00Z,288-1-1-114,78,
1710133080000,2024-03-11T04:58:00Z,288-1-1-114,77,
1710133140000,2024-03-11T04:59:00Z,288-1-1-114,79,
1710133200000,2024-03-11T05:00:00Z,288-1-1-114,80,
1710133260000,2024-03-11T05:01:00Z,288-1-1-114,79,
1710133320000,2024-03-11T05:02:00Z,288-1-1-114,79,
1710133380000,2024-03-11T05:03:00Z,288-1-1-114,76,
1710133440000,2024-03-11T05:04:00Z,288-1-1-114,79,
1710133500000,2024-03-11T05:05:00Z,288-1-1-114,83,
1710133560000,2024-03-11T05:06:00Z,288-1-1-114,88,
1710133620000,2024-03-11T05:07:00Z,288-1-1-114,86,
1710133680000,2024-03-11T05:08:00Z,288-1-1-114,89,
1710133740000,2024-03-11T05:09:00Z,288-1-1-114,84,
1710133800000,2024-03-11T05:10:00Z,288-1-1-114,83,
1710133860000,2024-03-11T05:11:00Z,288-1-1-114,83,
1710133920000,2024-03-11T05:12:00Z,288-1-1-114,85,
1710133980000,2024-03-11T05:13:00Z,288-1-1-114,83,
1710134040000,2024-03-11T05:14:00Z,288-1-1-114,85,
1710134100000,2024-03-11T05:15:00Z,288-1-1-114,76,
1710134160000,2024-03-11T05:16:00Z,288-1-1-114,82,
1710134220000,2024-03-11T05:17:00Z,288-1-1-114,79,
1710134280000,2024-03-11T05:18:00Z,288-1-1-114,76,
1710134340000,2024-03-11T05:19:00Z,288-1-1-114,85,
1710134400000,2024-03-11T05:20:00Z,288-1-1-114,79,
1710134460000,2024-03-11T05:21:00Z,288-1-1-114,80,
1710134520000,2024-03-11T05:22:00Z,288-1-1-114,80,
1710134580000,2024-03-11T05:23:00Z,288-1-1-114,85,
1710134640000,2024-03-11T05:24:00Z,288-1-1-114,79,
1710134700000,2024-03-11T05:25:00Z,288-1-1-114,78,
1710134760000,2024-03-11T05:26:00Z,288-1-1-114,79,
1710134820000,2024-03-11T05:27:00Z,288-1-1-114,85,
1710134880000,2024-03-11T05:28:00Z,288-1-1-114,82,
1710134940000,2024-03-11T05:29:00Z,288-1-1-114,81,
1710135000000,2024-03-11T05:30:00Z,288-1-1-114,88,
1710135060000,2024-03-11T05:31:00Z,288-1-1-114,74,
1710135120000,2024-03-11T05:32:00Z,288-1-1-114,73,
1710135180000,2024-03-11T05:33:00Z,288-1-1-114,72,
1710135240000,2024-03-11T05:34:00Z,288-1-1-114,74,
1710135300000,2024-03-11T05:35:00Z,288-1-1-114,84,
1710135360000,2024-03-11T05:36:00Z,288-1-1-114,78,
1710135420000,2024-03-11T05:37:00Z,288-1-1-114,77,
1710135480000,2024-03-11T05:38:00Z,288-1-1-114,78,
1710135540000,2024-03-11T05:39:00Z,288-1-1-114,78,
1710135600000,2024-03-11T05:40:00Z,288-1-1-114,77,
1710135660000,2024-03-11T05:41:00Z,288-1-1-114,78,
1710135720000,2024-03-11T05:42:00Z,288-1-1-114,79,
1710135780000,2024-03-11T05:43:00Z,288-1-1-114,76,
1710135840000,2024-03-11T05:44:00Z,288-1-1-114,83,
1710135900000,2024-03-11T05:45:00Z,288-1-1-114,74,
1710135960000,2024-03-11T05:46:00Z,288-1-1-114,74,
1710136020000,2024-03-11T05:47:00Z,288-1-1-114,78,
1710136080000,2024-03-11T05:48:00Z,288-1-1-114,82,
1710136140000,2024-03-11T05:49:00Z,288-1-1-114,86,
1710136200000,2024-03-11T05:50:00Z,288-1-1-114,83,
1710136260000,2024-03-11T05:51:00Z,288-1-1-114,83,
1710136320000,2024-03-11T05:52:00Z,288-1-1-114,82,
1710136380000,2024-03-11T05:53:00Z,288-1-1-114,80,
1710136440000,2024-03-11T05:54:00Z,288-1-1-114,87,
1710136500000,2024-03-11T05:55:00Z,288-1-1-114,79,
1710136560000,2024-03-11T05:56:00Z,288-1-1-114,89,
1710136620000,2024-03-11T05:57:00Z,288-1-1-114,79,
1710136680000,2024-03-11T05:58:00Z,288-1-1-114,86,
1710136740000,2024-03-11T05:59:00Z,288-1-1-114,93,
1710136800000,2024-03-11T06:00:00Z,288-1-1-114,85,
1710136860000,2024-03-11T06:01:00Z,288-1-1-114,86,
