timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1712121780000,2024-04-03T05:23:00Z,288-1-1-116,sedentary,
1712121840000,2024-04-03T05:24:00Z,288-1-1-116,sedentary,
1712121900000,2024-04-03T05:25:00Z,288-1-1-116,sedentary,
1712121960000,2024-04-03T05:26:00Z,288-1-1-116,sedentary,
1712122020000,2024-04-03T05:27:00Z,288-1-1-116,sedentary,
1712122080000,2024-04-03T05:28:00Z,288-1-1-116,MPA,
1712122140000,2024-04-03T05:29:00Z,288-1-1-116,sedentary,
1712122200000,2024-04-03T05:30:00Z,288-1-1-116,sedentary,
1712122260000,2024-04-03T05:31:00Z,288-1-1-116,sedentary,
1712122320000,2024-04-03T05:32:00Z,288-1-1-116,LPA,
1712122380000,2024-04-03T05:33:00Z,288-1-1-116,VPA,
1712122440000,2024-04-03T05:34:00Z,288-1-1-116,sedentary,
1712122500000,2024-04-03T05:35:00Z,288-1-1-116,sedentary,
1712122560000,2024-04-03T05:36:00Z,288-1-1-116,MPA,
1712122620000,2024-04-03T05:37:00Z,288-1-1-116,MPA,
1712122680000,2024-04-03T05:38:00Z,288-1-1-116,LPA,
1712122740000,2024-04-03T05:39:00Z,288-1-1-116,sedentary,
1712122800000,2024-04-03T05:40:00Z,288-1-1-116,MPA,
1712122860000,2024-04-03T05:41:00Z,288-1-1-116,MPA,
1712122920000,2024-04-03T05:42:00Z,288-1-1-116,LPA,
1712122980000,2024-04-03T05:43:00Z,288-1-1-116,MPA,
1712123040000,2024-04-03T05:44:00Z,288-1-1-116,sedentary,
1712123100000,2024-04-03T05:45:00Z,288-1-1-116,sedentary,
1712123160000,2024-04-03T05:46:00Z,288-1-1-116,sedentary,
1712123220000,2024-04-03T05:47:00Z,288-1-1-116,sedentary,
1712123280000,2024-04-03T05:48:00Z,288-1-1-116,MPA,
1712123340000,2024-04-03T05:49:00Z,288-1-1-116,MPA,
1712123400000,2024-04-03T05:50:00Z,288-1-1-116,MPA,
1712123460000,2024-04-03T05:51:00Z,288-1-1-116,sedentary,
1712123520000,2024-04-03T05:52:00Z,288-1-1-116,sedentary,
1712123580000,2024-04-03T05:53:00Z,288-1-1-116,sedentary,
1712123640000,2024-04-03T05:54:00Z,288-1-1-116,MPA,
1712123700000,2024-04-03T05:55:00Z,288-1-1-116,MPA,
1712123760000,2024-04-03T05:56:00Z,288-1-1-116,LPA,
1712123820000,2024-04-03T05:57:00Z,288-1-1-116,MPA,
1712123880000,2024-04-03T05:58:00Z,288-1-1-116,VPA,
1712123940000,2024-04-03T05:59:00Z,288-1-1-116,VPA,
1712124000000,2024-04-03T06:00:00Z,288-1-1-116,MPA,
1712124060000,2024-04-03T06:01:00Z,288-1-1-116,VPA,
1712124120000,2024-04-03T06:02:00Z,288-1-1-116,MPA,
1712124180000,2024-04-03T06:03:00Z,288-1-1-116,VPA,
1712124240000,2024-04-03T06:04:00Z,288-1-1-116,VPA,
1712124300000,2024-04-03T06:05:00Z,288-1-1-116,LPA,
1712124360000,2024-04-03T06:06:00Z,288-1-1-116,sedentary,
1712124420000,2024-04-03T06:07:00Z,288-1-1-116,sedentary,
1712124480000,2024-04-03T06:08:00Z,288-1-1-116,sedentary,
