timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709952480000,2024-03-09T02:48:00Z,288-1-1-114,0.36,
1709952540000,2024-03-09T02:49:00Z,288-1-1-114,3.03,
1709952600000,2024-03-09T02:50:00Z,288-1-1-114,6.53,
1709952660000,2024-03-09T02:51:00Z,288-1-1-114,1.6,
1709952720000,2024-03-09T02:52:00Z,288-1-1-114,0.05,
1709952780000,2024-03-09T02:53:00Z,288-1-1-114,0.82,
1709952840000,2024-03-09T02:54:00Z,288-1-1-114,3.37,
1709952900000,2024-03-09T02:55:00Z,288-1-1-114,3.63,
1709952960000,2024-03-09T02:56:00Z,288-1-1-114,2.97,
1709953020000,2024-03-09T02:57:00Z,288-1-1-114,4.49,
1709953080000,2024-03-09T02:58:00Z,288-1-1-114,3.74,
1709953140000,2024-03-09T02:59:00Z,288-1-1-114,2.84,
1709953200000,2024-03-09T03:00:00Z,288-1-1-114,0.12,
1709953260000,2024-03-09T03:01:00Z,288-1-1-114,0.14,
1709953320000,2024-03-09T03:02:00Z,288-1-1-114,0.28,
1709953380000,2024-03-09T03:03:00Z,288-1-1-114,0.03,
1709953440000,2024-03-09T03:04:00Z,288-1-1-114,0.06,
1709953500000,2024-03-09T03:05:00Z,288-1-1-114,0.09,
1709953560000,2024-03-09T03:06:00Z,288-1-1-114,0.19,
1709953620000,2024-03-09T03:07:00Z,288-1-1-114,0.23,
1709953680000,2024-03-09T03:08:00Z,288-1-1-114,1.17,
1709953740000,2024-03-09T03:09:00Z,288-1-1-114,0.52,
1709953800000,2024-03-09T03:10:00Z,288-1-1-114,0.62,
1709953860000,2024-03-09T03:11:00Z,288-1-1-114,2.28,
1709953920000,2024-03-09T03:12:00Z,288-1-1-114,0.2,
1709953980000,2024-03-09T03:13:00Z,288-1-1-114,1.57,
1709954040000,2024-03-09T03:14:00Z,288-1-1-114,2.13,
1709954100000,2024-03-09T03:15:00Z,288-1-1-114,3.24,
1709954160000,2024-03-09T03:16:00Z,288-1-1-114,2.98,
1709954220000,2024-03-09T03:17:00Z,288-1-1-114,0.28,
1709954280000,2024-03-09T03:18:00Z,288-1-1-114,2.04,
1709954340000,2024-03-09T03:19:00Z,288-1-1-114,3.67,
1709954400000,2024-03-09T03:20:00Z,288-1-1-114,4.33,
1709954460000,2024-03-09T03:21:00Z,288-1-1-114,3.65,
1709954520000,2024-03-09T03:22:00Z,288-1-1-114,4.11,
1709954580000,2024-03-09T03:23:00Z,288-1-1-114,4.28,
1709954640000,2024-03-09T03:24:00Z,288-1-1-114,2.2,
1709954700000,2024-03-09T03:25:00Z,288-1-1-114,2.77,
1709954760000,2024-03-09T03:26:00Z,288-1-1-114,0.32,
1709954820000,2024-03-09T03:27:00Z,288-1-1-114,0.25,
1709954880000,2024-03-09T03:28:00Z,288-1-1-114,3.21,
1709954940000,2024-03-09T03:29:00Z,288-1-1-114,3.49,
1709955000000,2024-03-09T03:30:00Z,288-1-1-114,2.98,
1709955060000,2024-03-09T03:31:00Z,288-1-1-114,2.79,
1709955120000,2024-03-09T03:32:00Z,288-1-1-114,3.65,
1709955180000,2024-03-09T03:33:00Z,288-1-1-114,4.6,
1709955240000,2024-03-09T03:34:00Z,288-1-1-114,3.39,
1709955300000,2024-03-09T03:35:00Z,288-1-1-114,2.76,
1709955360000,2024-03-09T03:36:00Z,288-1-1-114,4.04,
1709955420000,2024-03-09T03:37:00Z,288-1-1-114,4.34,
1709955480000,2024-03-09T03:38:00Z,288-1-1-114,4.88,
1709955540000,2024-03-09T03:39:00Z,288-1-1-114,3.63,
1709955600000,2024-03-09T03:40:00Z,288-1-1-114,0.06,
1709955660000,2024-03-09T03:41:00Z,288-1-1-114,0.28,
1709955720000,2024-03-09T03:42:00Z,288-1-1-114,2.98,
1709955780000,2024-03-09T03:43:00Z,288-1-1-114,4.3,
1709955840000,2024-03-09T03:44:00Z,288-1-1-114,4.07,
1709955900000,2024-03-09T03:45:00Z,288-1-1-114,3.72,
1709955960000,2024-03-09T03:46:00Z,288-1-1-114,4.74,
1709956020000,2024-03-09T03:47:00Z,288-1-1-114,5.22,
1709956080000,2024-03-09T03:48:00Z,288-1-1-114,2.42,
1709956140000,2024-03-09T03:49:00Z,288-1-1-114,3.43,
1709956200000,2024-03-09T03:50:00Z,288-1-1-114,4.9,
1709956260000,2024-03-09T03:51:00Z,288-1-1-114,1.74,
1709956320000,2024-03-09T03:52:00Z,288-1-1-114,4.65,
1709956380000,2024-03-09T03:53:00Z,288-1-1-114,4.26,
1709956440000,2024-03-09T03:54:00Z,288-1-1-114,5.35,
1709956500000,2024-03-09T03:55:00Z,288-1-1-114,5.27,
1709956560000,2024-03-09T03:56:00Z,288-1-1-114,5.98,
1709956620000,2024-03-09T03:57:00Z,288-1-1-114,5.63,
1709956680000,2024-03-09T03:58:00Z,288-1-1-114,5.19,
1709956740000,2024-03-09T03:59:00Z,288-1-1-114,4.69,
1709956800000,2024-03-09T04:00:00Z,288-1-1-114,4.61,
1709956860000,2024-03-09T04:01:00Z,288-1-1-114,4.49,
1709956920000,2024-03-09T04:02:00Z,288-1-1-114,2.38,
1709956980000,2024-03-09T04:03:00Z,288-1-1-114,3.1,
1709957040000,2024-03-09T04:04:00Z,288-1-1-114,3.65,
1709957100000,2024-03-09T04:05:00Z,288-1-1-114,6.95,
1709957160000,2024-03-09T04:06:00Z,288-1-1-114,5.58,
1709957220000,2024-03-09T04:07:00Z,288-1-1-114,5.94,
1709957280000,2024-03-09T04:08:00Z,288-1-1-114,5.89,
1709957340000,2024-03-09T04:09:00Z,288-1-1-114,5.75,
1709957400000,2024-03-09T04:10:00Z,288-1-1-114,5.55,
1709957460000,2024-03-09T04:11:00Z,288-1-1-114,6.01,
1709957520000,2024-03-09T04:12:00Z,288-1-1-114,5.35,
1709957580000,2024-03-09T04:13:00Z,288-1-1-114,5.66,
1709957640000,2024-03-09T04:14:00Z,288-1-1-114,5.96,
1709957700000,2024-03-09T04:15:00Z,288-1-1-114,5.72,
1709957760000,2024-03-09T04:16:00Z,288-1-1-114,5.42,
1709957820000,2024-03-09T04:17:00Z,288-1-1-114,5.12,
1709957880000,2024-03-09T04:18:00Z,288-1-1-114,4.47,
1709957940000,2024-03-09T04:19:00Z,288-1-1-114,4.8,
1709958000000,2024-03-09T04:20:00Z,288-1-1-114,5.07,
1709958060000,2024-03-09T04:21:00Z,288-1-1-114,4.01,
1709958120000,2024-03-09T04:22:00Z,288-1-1-114,3.58,
1709958180000,2024-03-09T04:23:00Z,288-1-1-114,3.91,
1709958240000,2024-03-09T04:24:00Z,288-1-1-114,3.06,
1709958300000,2024-03-09T04:25:00Z,288-1-1-114,1.95,
1709958360000,2024-03-09T04:26:00Z,288-1-1-114,2.12,
1709958420000,2024-03-09T04:27:00Z,288-1-1-114,2.01,
1709958480000,2024-03-09T04:28:00Z,288-1-1-114,1.66,
1709958540000,2024-03-09T04:29:00Z,288-1-1-114,1.42,
1709958600000,2024-03-09T04:30:00Z,288-1-1-114,1.13,
1709958660000,2024-03-09T04:31:00Z,288-1-1-114,1.9,
1709958720000,2024-03-09T04:32:00Z,288-1-1-114,2.16,
1709958780000,2024-03-09T04:33:00Z,288-1-1-114,,device_not_recording
1709958840000,2024-03-09T04:34:00Z,288-1-1-114,,device_not_recording
1709958900000,2024-03-09T04:35:00Z,288-1-1-114,,device_not_recording
1709958960000,2024-03-09T04:36:00Z,288-1-1-114,,device_not_recording
1709959020000,2024-03-09T04:37:00Z,288-1-1-114,,device_not_recording
1709959080000,2024-03-09T04:38:00Z,288-1-1-114,,device_not_recording
1709959140000,2024-03-09T04:39:00Z,288-1-1-114,,device_not_recording
1709959200000,2024-03-09T04:40:00Z,288-1-1-114,,device_not_recording
1709959260000,2024-03-09T04:41:00Z,288-1-1-114,,device_not_recording
1709959320000,2024-03-09T04:42:00Z,288-1-1-114,,device_not_recording
1709959380000,2024-03-09T04:43:00Z,288-1-1-114,,device_not_recording
1709959440000,2024-03-09T04:44:00Z,288-1-1-114,,device_not_recording
1709959500000,2024-03-09T04:45:00Z,288-1-1-114,,device_not_recording
1709959560000,2024-03-09T04:46:00Z,288-1-1-114,,device_not_recording
1709959620000,2024-03-09T04:47:00Z,288-1-1-114,,device_not_recording
1709959680000,2024-03-09T04:48:00Z,288-1-1-114,,device_not_recording
1709959740000,2024-03-09T04:49:00Z,288-1-1-114,,device_not_recording
1709959800000,2024-03-09T04:50:00Z,288-1-1-114,,device_not_recording
1709959860000,2024-03-09T04:51:00Z,288-1-1-114,,device_not_recording
1709959920000,2024-03-09T04:52:00Z,288-1-1-114,,device_not_recording
1709959980000,2024-03-09T04:53:00Z,288-1-1-114,,device_not_recording
1709960040000,2024-03-09T04:54:00Z,288-1-1-114,,device_not_recording
1709960100000,2024-03-09T04:55:00Z,288-1-1-114,,device_not_recording
1709960160000,2024-03-09T04:56:00Z,288-1-1-114,,device_not_recording
1709960220000,2024-03-09T04:57:00Z,288-1-1-114,,device_not_recording
1709960280000,2024-03-09T04:58:00Z,288-1-1-114,,device_not_recording
1709960340000,2024-03-09T04:59:00Z,288-1-1-114,,device_not_recording
1709960400000,2024-03-09T05:00:00Z,288-1-1-114,,device_not_recording
1709960460000,2024-03-09T05:01:00Z,288-1-1-114,,device_not_recording
1709960520000,2024-03-09T05:02:00Z,288-1-1-114,,device_not_recording
1709960580000,2024-03-09T05:03:00Z,288-1-1-114,,device_not_recording
1709960640000,2024-03-09T05:04:00Z,288-1-1-114,,device_not_recording
1709960700000,2024-03-09T05:05:00Z,288-1-1-114,,device_not_recording
1709960760000,2024-03-09T05:06:00Z,288-1-1-114,,device_not_recording
1709960820000,2024-03-09T05:07:00Z,288-1-1-114,,device_not_recording
