timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1712642520000,2024-04-09T06:02:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642580000,2024-04-09T06:03:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642640000,2024-04-09T06:04:00Z,288-1-1-116,,,device_not_recording
1712642700000,2024-04-09T06:05:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642760000,2024-04-09T06:06:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642820000,2024-04-09T06:07:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642880000,2024-04-09T06:08:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642940000,2024-04-09T06:09:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643000000,2024-04-09T06:10:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643060000,2024-04-09T06:11:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643120000,2024-04-09T06:12:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643180000,2024-04-09T06:13:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643240000,2024-04-09T06:14:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643300000,2024-04-09T06:15:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643360000,2024-04-09T06:16:00Z,288-1-1-116,standing,standing,
1712643420000,2024-04-09T06:17:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643480000,2024-04-09T06:18:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643540000,2024-04-09T06:19:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643600000,2024-04-09T06:20:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643660000,2024-04-09T06:21:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643720000,2024-04-09T06:22:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712643780000,2024-04-09T06:23:00Z,288-1-1-116,standing,standing,
1712643840000,2024-04-09T06:24:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643900000,2024-04-09T06:25:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712643960000,2024-04-09T06:26:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
